,image_file,dominant_color
278,Nexus_Image_Iterator/Kathy_composite_final_7_90.png,"(112, 116, 94)"
279,Nexus_Image_Iterator/moving_picture_grid_27_.png,"(155, 139, 134)"
280,Nexus_Image_Iterator/Sloth Vibes_composite_final_2_90.png,"(155, 128, 140)"
281,Nexus_Image_Iterator/more_compressedfull_sprial_grids_76_resized.png,"(155, 138, 134)"
282,Nexus_Image_Iterator/full_sprial_grids_34_resized.png,"(14, 13, 13)"
283,Nexus_Image_Iterator/back_forth_grid_5_resized.png,"(4, 4, 4)"
284,Nexus_Image_Iterator/RainbowSpaceman_composite_final_1_90.png,"(63, 68, 76)"
285,Nexus_Image_Iterator/moving_picture_grid_50_.png,"(170, 149, 143)"
286,Nexus_Image_Iterator/moving_picture_grid_99_resized.png,"(4, 4, 4)"
287,Nexus_Image_Iterator/moving_picture_grid_113_resized.png,"(4, 4, 4)"
288,Nexus_Image_Iterator/moving_picture_grid_64_resized.png,"(137, 124, 124)"
289,Nexus_Image_Iterator/back_forth_grid_13_.png,"(4, 4, 4)"
290,Nexus_Image_Iterator/MC 3_composite_3.png,"(173, 144, 144)"
291,Nexus_Image_Iterator/MC 2_composite_final_2_90.png,"(134, 111, 117)"
292,Nexus_Image_Iterator/grid_sprial_test_27_resized.png,"(10, 10, 10)"
293,Nexus_Image_Iterator/full_sprial_grids_51_resized.png,"(129, 115, 113)"
294,Nexus_Image_Iterator/more_compressedfull_sprial_grids_507_87_resized.png,"(4, 4, 4)"
295,Nexus_Image_Iterator/more_compressedfull_sprial_grids_13_resized.png,"(4, 4, 4)"
296,Nexus_Image_Iterator/Kathy_composite_4.png,"(177, 144, 112)"
297,Nexus_Image_Iterator/eisa_composite_final_8_90.png,"(131, 109, 106)"
298,Nexus_Image_Iterator/MC 3_composite_final_6_90.png,"(157, 155, 156)"
299,Nexus_Image_Iterator/Spiderplant_composite_final_7_90.png,"(145, 111, 102)"
300,Nexus_Image_Iterator/Sibel_composite_final_3_90.png,"(172, 160, 149)"
301,Nexus_Image_Iterator/all_test_01_.png,"(139, 120, 118)"
302,Nexus_Image_Iterator/moving_picture_grid_14_resized.png,"(4, 4, 4)"
303,Nexus_Image_Iterator/Spiderplant 2_composite_final_6_90676_resized.png,"(124, 124, 121)"
304,Nexus_Image_Iterator/full_sprial_grids_97_.png,"(4, 4, 4)"
305,Nexus_Image_Iterator/back_forth_grid_44_.png,"(12, 11, 11)"
306,Nexus_Image_Iterator/grid_sprial_test_32_.png,"(13, 12, 12)"
307,Nexus_Image_Iterator/full_sprial_grids_21_resized.png,"(151, 135, 131)"
308,Nexus_Image_Iterator/full_sprial_grids_78_.png,"(155, 137, 133)"
309,Nexus_Image_Iterator/more_compressedfull_sprial_grids_63_resized.png,"(155, 141, 139)"
310,Nexus_Image_Iterator/Victor_composite_final_7_90.png,"(155, 114, 84)"
311,Nexus_Image_Iterator/Dan_composite_1.png,"(138, 114, 134)"
312,Nexus_Image_Iterator/Jeanfiedo_composite_final_9_90.png676_resized.png,"(116, 98, 95)"
313,Nexus_Image_Iterator/moving_picture_grid_11_.png,"(4, 4, 4)"
314,Nexus_Image_Iterator/eisa_composite_final_4_90.png,"(140, 120, 114)"
315,Nexus_Image_Iterator/grid_sprial_test_24_.png,"(156, 138, 134)"
316,Nexus_Image_Iterator/back_forth_grid_52_.png,"(155, 137, 132)"
317,Nexus_Image_Iterator/full_sprial_grids_81_.png,"(155, 137, 132)"
318,Nexus_Image_Iterator/Spiderplant_composite_2.png,"(120, 120, 111)"
